Category,City,Country/Region,Customer ID,Customer Name,Order Date,Order ID,Postal Code,Product ID,Product Name,Quantity (bin),Region,Row ID,Ship Date,Ship Mode,State,Sub-Category,Profit,Quantity,Sales,Sales Agent ID
Office Supplies,Madison,United States,PK-19075,Pete Kriz,11-11-2016,CA-105893-2016_11_11,53711,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",6,Central,17,18-11-2016,Standard Class,Wisconsin,Storage,199.764,6,665.88,48
Office Supplies,West Jordan,United States,AG-10270,Alejandro Grove,13-05-2016,CA-167164-2016_05_13,84084,OFF-ST-10000107,Fellowes Super Stor/Drawer,2,West,18,15-05-2016,Second Class,Utah,Storage,16.65,2,55.5,43
Office Supplies,San Francisco,United States,ZD-21925,Zuschuss Donatelli,27-08-2016,CA-143336-2016_08_27,94109,OFF-AR-10003056,Newell 341,2,West,19,01-09-2016,Second Class,California,Art,2.568,2,8.56,4
Technology,San Francisco,United States,ZD-21925,Zuschuss Donatelli,27-08-2016,CA-143336-2016_08_27,94109,TEC-PH-10001949,Cisco SPA 501G IP Phone,2,West,20,01-09-2016,Second Class,California,Phones,64.044,3,213.48,4
Office Supplies,San Francisco,United States,ZD-21925,Zuschuss Donatelli,27-08-2016,CA-143336-2016_08_27,94109,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",4,West,21,01-09-2016,Second Class,California,Binders,6.816,4,22.72,4
Office Supplies,Fremont,United States,KB-16585,Ken Black,09-12-2018,CA-137330-2018_12_09,68025,OFF-AR-10000246,Newell 318,6,Central,22,13-12-2018,Standard Class,Nebraska,Art,5.838,7,19.46,26
Office Supplies,Fremont,United States,KB-16585,Ken Black,09-12-2018,CA-137330-2018_12_09,68025,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",6,Central,23,13-12-2018,Standard Class,Nebraska,Appliances,18.102,7,60.34,26
Furniture,Philadelphia,United States,SF-20065,Sandra Flanagan,16-07-2019,US-156909-2019_07_16,19140,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",2,East,24,18-07-2019,Second Class,Pennsylvania,Chairs,21.4116,2,71.372,37
Furniture,Orem,United States,EB-13870,Emily Burns,25-09-2017,CA-106320-2017_09_25,84057,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,2,West,25,30-09-2017,Standard Class,Utah,Tables,313.389,3,1044.63,43
Office Supplies,Los Angeles,United States,EH-13945,Eric Hoffmann,16-01-2018,CA-121755-2018_01_16,90049,OFF-BI-10001634,Wilson Jones Active Use Binders,2,West,26,20-01-2018,Second Class,California,Binders,3.4944,2,11.648,4
Technology,Los Angeles,United States,EH-13945,Eric Hoffmann,16-01-2018,CA-121755-2018_01_16,90049,TEC-AC-10003027,ImationÊ8GB Mini TravelDrive USB 2.0ÊFlash Drive,2,West,27,20-01-2018,Second Class,California,Accessories,27.171,3,90.57,4
Furniture,Philadelphia,United States,TB-21520,Tracy Blumstein,17-09-2017,US-150630-2017_09_17,19140,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",6,East,28,21-09-2017,Standard Class,Pennsylvania,Bookcases,925.029,7,3083.43,37
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,17-09-2017,US-150630-2017_09_17,19140,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,2,East,29,21-09-2017,Standard Class,Pennsylvania,Binders,2.8854,2,9.618,37
Furniture,Philadelphia,United States,TB-21520,Tracy Blumstein,17-09-2017,US-150630-2017_09_17,19140,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",2,East,30,21-09-2017,Standard Class,Pennsylvania,Furnishings,37.26,3,124.2,37
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,17-09-2017,US-150630-2017_09_17,19140,OFF-EN-10001509,Poly String Tie Envelopes,2,East,31,21-09-2017,Standard Class,Pennsylvania,Envelopes,0.9792,2,3.264,37
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,17-09-2017,US-150630-2017_09_17,19140,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",6,East,32,21-09-2017,Standard Class,Pennsylvania,Art,25.8912,6,86.304,37
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,17-09-2017,US-150630-2017_09_17,19140,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6,East,33,21-09-2017,Standard Class,Pennsylvania,Binders,2.0574,6,6.858,37
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,17-09-2017,US-150630-2017_09_17,19140,OFF-AR-10001683,Lumber Crayons,2,East,34,21-09-2017,Standard Class,Pennsylvania,Art,4.728,2,15.76,37
Office Supplies,Houston,United States,MA-17560,Matt Abelman,19-10-2019,CA-107727-2019_10_19,77095,OFF-PA-10000249,Easy-staple paper,2,Central,35,23-10-2019,Second Class,Texas,Paper,8.8416,3,29.472,42
Technology,Richardson,United States,GH-14485,Gene Hale,08-12-2018,CA-117590-2018_12_08,75080,TEC-PH-10004977,GE 30524EE4,6,Central,36,10-12-2018,First Class,Texas,Phones,329.2632,7,1097.544,42
Furniture,Richardson,United States,GH-14485,Gene Hale,08-12-2018,CA-117590-2018_12_08,75080,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",4,Central,37,10-12-2018,First Class,Texas,Furnishings,57.276,5,190.92,42
Office Supplies,Houston,United States,SN-20710,Steve Nguyen,27-12-2017,CA-117415-2017_12_27,77041,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",8,Central,38,31-12-2017,Standard Class,Texas,Envelopes,33.9984,9,113.328,42
Furniture,Houston,United States,SN-20710,Steve Nguyen,27-12-2017,CA-117415-2017_12_27,77041,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",2,Central,39,31-12-2017,Standard Class,Texas,Bookcases,159.71976,3,532.3992,42
Furniture,Houston,United States,SN-20710,Steve Nguyen,27-12-2017,CA-117415-2017_12_27,77041,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",2,Central,40,31-12-2017,Standard Class,Texas,Chairs,63.6174,3,212.058,42
Technology,Houston,United States,SN-20710,Steve Nguyen,27-12-2017,CA-117415-2017_12_27,77041,TEC-PH-10000486,Plantronics HL10 Handset Lifter,4,Central,41,31-12-2017,Standard Class,Texas,Phones,111.3504,4,371.168,42
Technology,Naperville,United States,LC-16930,Linda Cazamias,10-09-2019,CA-120999-2019_09_10,60540,TEC-PH-10004093,Panasonic Kx-TS550,4,Central,42,15-09-2019,Standard Class,Illinois,Phones,44.1504,4,147.168,12
Office Supplies,Los Angeles,United States,RA-19885,Ruben Ausman,17-07-2018,CA-101343-2018_07_17,90049,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",2,West,43,22-07-2018,Standard Class,California,Storage,23.364,2,77.88,4
Office Supplies,Melbourne,United States,ES-14080,Erin Smith,19-09-2019,CA-139619-2019_09_19,32935,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",2,South,44,23-09-2019,Standard Class,Florida,Storage,28.6848,2,95.616,9
Technology,Eagan,United States,ON-18715,Odella Nelson,11-03-2018,CA-118255-2018_03_11,55122,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",2,Central,45,13-03-2018,First Class,Minnesota,Accessories,13.794,2,45.98,22
Office Supplies,Eagan,United States,ON-18715,Odella Nelson,11-03-2018,CA-118255-2018_03_11,55122,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,2,Central,46,13-03-2018,First Class,Minnesota,Binders,5.238,2,17.46,22
Office Supplies,Westland,United States,PO-18865,Patrick O'Donnell,20-10-2016,CA-146703-2016_10_20,48185,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",4,Central,47,25-10-2016,Second Class,Michigan,Storage,63.588,4,211.96,21
Technology,Dover,United States,LH-16900,Lena Hernandez,20-06-2018,CA-169194-2018_06_20,19901,TEC-AC-10002167,ImationÊ8gb Micro Traveldrive Usb 2.0ÊFlash Drive,2,East,48,25-06-2018,Standard Class,Delaware,Accessories,13.5,3,45,7
Technology,Dover,United States,LH-16900,Lena Hernandez,20-06-2018,CA-169194-2018_06_20,19901,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",2,East,49,25-06-2018,Standard Class,Delaware,Phones,6.54,2,21.8,7
Office Supplies,New Albany,United States,DP-13000,Darren Powers,18-04-2017,CA-115742-2017_04_18,47150,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",6,Central,50,22-04-2017,Standard Class,Indiana,Binders,11.466,6,38.22,13
Office Supplies,New Albany,United States,DP-13000,Darren Powers,18-04-2017,CA-115742-2017_04_18,47150,OFF-LA-10002762,Avery 485,6,Central,51,22-04-2017,Standard Class,Indiana,Labels,22.554,6,75.18,13
Furniture,New Albany,United States,DP-13000,Darren Powers,18-04-2017,CA-115742-2017_04_18,47150,FUR-FU-10001706,Longer-Life Soft White Bulbs,2,Central,52,22-04-2017,Standard Class,Indiana,Furnishings,1.848,2,6.16,13
Furniture,New Albany,United States,DP-13000,Darren Powers,18-04-2017,CA-115742-2017_04_18,47150,FUR-CH-10003061,"Global Leather Task Chair, Black",0,Central,53,22-04-2017,Standard Class,Indiana,Chairs,26.997,1,89.99,13
Office Supplies,New York City,United States,JM-15265,Janet Molinari,11-12-2018,CA-105816-2018_12_11,10024,OFF-FA-10000304,Advantus Push Pins,6,East,54,17-12-2018,Standard Class,New York,Fasteners,4.578,7,15.26,31
Technology,New York City,United States,JM-15265,Janet Molinari,11-12-2018,CA-105816-2018_12_11,10024,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,4,East,55,17-12-2018,Standard Class,New York,Phones,308.985,5,1029.95,31
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,17-06-2018,CA-111682-2018_06_17,12180,OFF-ST-10000604,Home/Office Personal File Carts,6,East,56,18-06-2018,First Class,New York,Storage,62.568,6,208.56,31
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,17-06-2018,CA-111682-2018_06_17,12180,OFF-PA-10001569,Xerox 232,4,East,57,18-06-2018,First Class,New York,Paper,9.72,5,32.4,31
Furniture,Troy,United States,TB-21055,Ted Butterfield,17-06-2018,CA-111682-2018_06_17,12180,FUR-CH-10003968,Novimex Turbo Task Chair,4,East,58,18-06-2018,First Class,New York,Chairs,95.823,5,319.41,31
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,17-06-2018,CA-111682-2018_06_17,12180,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",2,East,59,18-06-2018,First Class,New York,Paper,4.368,2,14.56,31
Technology,Troy,United States,TB-21055,Ted Butterfield,17-06-2018,CA-111682-2018_06_17,12180,TEC-AC-10002167,ImationÊ8gb Micro Traveldrive Usb 2.0ÊFlash Drive,2,East,60,18-06-2018,First Class,New York,Accessories,9,2,30,31
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,17-06-2018,CA-111682-2018_06_17,12180,OFF-BI-10001460,Plastic Binding Combs,4,East,61,18-06-2018,First Class,New York,Binders,14.544,4,48.48,31
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,17-06-2018,CA-111682-2018_06_17,12180,OFF-AR-10001868,Prang Dustless Chalk Sticks,0,East,62,18-06-2018,First Class,New York,Art,0.504,1,1.68,31
Technology,Los Angeles,United States,KM-16720,Kunst Miller,24-11-2017,CA-135545-2017_11_24,90004,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",2,West,63,30-11-2017,Standard Class,California,Accessories,4.194,2,13.98,4
Office Supplies,Los Angeles,United States,KM-16720,Kunst Miller,24-11-2017,CA-135545-2017_11_24,90004,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",6,West,64,30-11-2017,Standard Class,California,Binders,7.7472,6,25.824,4
Office Supplies,Los Angeles,United States,KM-16720,Kunst Miller,24-11-2017,CA-135545-2017_11_24,90004,OFF-PA-10003892,Xerox 1943,2,West,65,30-11-2017,Standard Class,California,Paper,44.019,3,146.73,4
Furniture,Los Angeles,United States,KM-16720,Kunst Miller,24-11-2017,CA-135545-2017_11_24,90004,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,4,West,66,30-11-2017,Standard Class,California,Furnishings,23.928,4,79.76,4
Furniture,Chicago,United States,PS-18970,Paul Stevenson,30-04-2017,US-164175-2017_04_30,60610,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",4,Central,67,05-05-2017,Standard Class,Illinois,Chairs,63.9345,5,213.115,12
Office Supplies,Gilbert,United States,BS-11590,Brendan Sweed,05-12-2016,CA-106376-2016_12_05,85234,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",8,West,68,10-12-2016,Standard Class,Arizona,Art,333.9072,8,1113.024,2
Technology,Gilbert,United States,BS-11590,Brendan Sweed,05-12-2016,CA-106376-2016_12_05,85234,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,4,West,69,10-12-2016,Standard Class,Arizona,Phones,50.3904,4,167.968,2
Office Supplies,Springfield,United States,KD-16270,Karen Daniels,04-06-2018,CA-119823-2018_06_04,22153,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",2,South,70,06-06-2018,First Class,Virginia,Paper,22.764,2,75.88,45
Office Supplies,New York City,United States,HM-14980,Henry MacAllister,18-09-2018,CA-106075-2018_09_18,10009,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,0,East,71,23-09-2018,Standard Class,New York,Binders,1.3848,1,4.616,31
Office Supplies,Jackson,United States,TB-21520,Tracy Blumstein,14-09-2019,CA-114440-2019_09_14,49201,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",2,Central,72,17-09-2019,Second Class,Michigan,Paper,5.715,3,19.05,21
Furniture,Memphis,United States,JE-15745,Joel Eaton,26-04-2017,US-134026-2017_04_26,38109,FUR-CH-10000513,High-Back Leather Manager's Chair,8,South,73,02-05-2017,Standard Class,Tennessee,Chairs,249.5808,8,831.936,41
Furniture,Memphis,United States,JE-15745,Joel Eaton,26-04-2017,US-134026-2017_04_26,38109,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",2,South,74,02-05-2017,Standard Class,Tennessee,Furnishings,29.112,2,97.04,41
Office Supplies,Memphis,United States,JE-15745,Joel Eaton,26-04-2017,US-134026-2017_04_26,38109,OFF-ST-10004123,Safco Industrial Wire Shelving System,0,South,75,02-05-2017,Standard Class,Tennessee,Storage,21.8352,1,72.784,41
Office Supplies,Houston,United States,KB-16600,Ken Brennan,09-12-2019,US-118038-2019_12_09,77041,OFF-BI-10004182,Economy Binders,2,Central,76,11-12-2019,First Class,Texas,Binders,0.3744,3,1.248,42
Furniture,Houston,United States,KB-16600,Ken Brennan,09-12-2019,US-118038-2019_12_09,77041,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",2,Central,77,11-12-2019,First Class,Texas,Furnishings,2.9124,3,9.708,42
Office Supplies,Houston,United States,KB-16600,Ken Brennan,09-12-2019,US-118038-2019_12_09,77041,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",2,Central,78,11-12-2019,First Class,Texas,Storage,8.172,3,27.24,42
Furniture,Houston,United States,JE-15745,Joel Eaton,26-11-2016,US-147606-2016_11_26,77070,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",4,Central,79,01-12-2016,Second Class,Texas,Furnishings,5.79,5,19.3,42
Office Supplies,Decatur,United States,SC-20770,Stewart Carmichael,12-06-2018,CA-127208-2018_06_12,35601,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",0,South,80,15-06-2018,First Class,Alabama,Appliances,62.448,1,208.16,1
Office Supplies,Decatur,United States,SC-20770,Stewart Carmichael,12-06-2018,CA-127208-2018_06_12,35601,OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,2,South,81,15-06-2018,First Class,Alabama,Binders,5.022,3,16.74,1
Office Supplies,San Francisco,United States,DN-13690,Duane Noonan,12-10-2016,CA-139451-2016_10_12,94122,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",4,West,82,16-10-2016,Standard Class,California,Art,4.47,5,14.9,4
Office Supplies,San Francisco,United States,DN-13690,Duane Noonan,12-10-2016,CA-139451-2016_10_12,94122,OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",0,West,83,16-10-2016,Standard Class,California,Storage,6.417,1,21.39,4
Office Supplies,Durham,United States,JC-16105,Julie Creighton,03-09-2017,CA-149734-2017_09_03,27707,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,6,South,84,08-09-2017,Standard Class,North Carolina,Envelopes,60.2952,7,200.984,32
Office Supplies,Chicago,United States,CS-12400,Christopher Schild,13-11-2019,US-119662-2019_11_13,60623,OFF-ST-10003656,Safco Industrial Wire Shelving,2,Central,85,16-11-2019,First Class,Illinois,Storage,69.1128,3,230.376,12
Furniture,Columbia,United States,PO-18865,Patrick O'Donnell,28-05-2019,CA-140088-2019_05_28,29203,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,2,South,86,30-05-2019,Second Class,South Carolina,Chairs,90.588,2,301.96,39
Technology,Rochester,United States,PG-18895,Paul Gonzalez,26-10-2019,CA-155558-2019_10_26,55901,TEC-AC-10001998,LogitechÊLS21 Speaker System - PC Multimedia - 2.1-CH - Wired,0,Central,87,02-11-2019,Standard Class,Minnesota,Accessories,5.997,1,19.99,22
Office Supplies,Rochester,United States,PG-18895,Paul Gonzalez,26-10-2019,CA-155558-2019_10_26,55901,OFF-LA-10000134,Avery 511,2,Central,88,02-11-2019,Standard Class,Minnesota,Labels,1.848,2,6.16,22
Office Supplies,Houston,United States,GM-14455,Gary Mitchum,05-04-2018,CA-159695-2018_04_05,77095,OFF-ST-10003442,Eldon Portable Mobile Manager,6,Central,89,10-04-2018,Second Class,Texas,Storage,47.5104,7,158.368,42
Office Supplies,Los Angeles,United States,JS-15685,Jim Sink,17-09-2018,CA-109806-2018_09_17,90036,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,2,West,90,22-09-2018,Standard Class,California,Art,6.03,3,20.1,4
Technology,Los Angeles,United States,JS-15685,Jim Sink,17-09-2018,CA-109806-2018_09_17,90036,TEC-PH-10004093,Panasonic Kx-TS550,2,West,91,22-09-2018,Standard Class,California,Phones,22.0752,2,73.584,4
Office Supplies,Los Angeles,United States,JS-15685,Jim Sink,17-09-2018,CA-109806-2018_09_17,90036,OFF-PA-10000304,Xerox 1995,0,West,92,22-09-2018,Standard Class,California,Paper,1.944,1,6.48,4
Office Supplies,Minneapolis,United States,KB-16315,Karl Braun,31-01-2017,CA-149587-2017_01_31,55407,OFF-PA-10003177,Xerox 1999,2,Central,93,05-02-2017,Second Class,Minnesota,Paper,3.888,2,12.96,22
Furniture,Minneapolis,United States,KB-16315,Karl Braun,31-01-2017,CA-149587-2017_01_31,55407,FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",2,Central,94,05-02-2017,Second Class,Minnesota,Furnishings,16.002,3,53.34,22
Office Supplies,Minneapolis,United States,KB-16315,Karl Braun,31-01-2017,CA-149587-2017_01_31,55407,OFF-BI-10002852,Ibico Standard Transparent Covers,2,Central,95,05-02-2017,Second Class,Minnesota,Binders,9.888,2,32.96,22
Office Supplies,Portland,United States,RB-19705,Roger Barcio,06-11-2019,US-109484-2019_11_06,97206,OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,0,West,96,12-11-2019,Standard Class,Oregon,Binders,1.7046,1,5.682,36
Furniture,New York City,United States,PN-18775,Parhena Norris,09-11-2019,CA-161018-2019_11_09,10009,FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,6,East,97,11-11-2019,Second Class,New York,Furnishings,28.959,7,96.53,31
Office Supplies,San Francisco,United States,KD-16345,Katherine Ducich,17-06-2019,CA-157833-2019_06_17,94122,OFF-BI-10001721,Trimflex Flexible Post Binders,2,West,98,20-06-2019,First Class,California,Binders,15.3936,3,51.312,4
Office Supplies,Saint Paul,United States,ER-13855,Elpida Rittenbach,06-09-2018,CA-149223-2018_09_06,55106,OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,6,Central,99,11-09-2018,Standard Class,Minnesota,Appliances,23.364,6,77.88,22
Office Supplies,Chicago,United States,RB-19465,Rick Bensley,29-08-2018,CA-158568-2018_08_29,60610,OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,6,Central,100,02-09-2018,Standard Class,Illinois,Paper,19.3872,7,64.624,12
Technology,Chicago,United States,RB-19465,Rick Bensley,29-08-2018,CA-158568-2018_08_29,60610,TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,2,Central,101,02-09-2018,Standard Class,Illinois,Accessories,28.7928,3,95.976,12
Office Supplies,Chicago,United States,RB-19465,Rick Bensley,29-08-2018,CA-158568-2018_08_29,60610,OFF-BI-10002609,Avery Hidden Tab Dividers for Binding Systems,2,Central,102,02-09-2018,Standard Class,Illinois,Binders,0.5364,3,1.788,12
Office Supplies,Rochester,United States,GZ-14470,Gary Zandusky,01-12-2018,CA-129903-2018_12_01,55901,OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),4,Central,103,04-12-2018,Second Class,Minnesota,Paper,7.176,4,23.92,22
Technology,Aurora,United States,LC-16870,Lena Cacioppo,13-11-2017,US-156867-2017_11_13,80013,TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,6,West,104,17-11-2017,Standard Class,Colorado,Accessories,71.6688,6,238.896,5
Furniture,Aurora,United States,LC-16870,Lena Cacioppo,13-11-2017,US-156867-2017_11_13,80013,FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",2,West,105,17-11-2017,Standard Class,Colorado,Furnishings,30.708,3,102.36,5
Office Supplies,Aurora,United States,LC-16870,Lena Cacioppo,13-11-2017,US-156867-2017_11_13,80013,OFF-BI-10002794,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",2,West,106,17-11-2017,Standard Class,Colorado,Binders,11.0646,3,36.882,5
Technology,Charlotte,United States,JM-15250,Janet Martin,23-11-2019,CA-119004-2019_11_23,28205,TEC-AC-10003499,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,8,South,107,28-11-2019,Standard Class,North Carolina,Accessories,22.2336,8,74.112,32
Technology,Charlotte,United States,JM-15250,Janet Martin,23-11-2019,CA-119004-2019_11_23,28205,TEC-PH-10002844,Speck Products Candyshell Flip Case,0,South,108,28-11-2019,Standard Class,North Carolina,Phones,8.3976,1,27.992,32
